"title","url","field_path","enum_values","value_count"
"Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","ApiResponse.code","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","paths.post.input.duration","10; 5","2"
"Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","paths.post.input.resolution","1080p; 480p; 720p","3"
"Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","paths.post.model","bytedance/v1-lite-image-to-video","1"
"Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","ApiResponse.code","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","paths.post.input.aspect_ratio","1:1; 16:9; 3:4; 4:3; 9:16; 9:21","6"
"Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","paths.post.input.duration","10; 5","2"
"Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","paths.post.input.resolution","1080p; 480p; 720p","3"
"Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","paths.post.model","bytedance/v1-lite-text-to-video","1"
"Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","ApiResponse.code","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","paths.post.input.aspect_ratio","1:1; 16:9; 21:9; 3:4; 4:3; 9:16","6"
"Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","paths.post.input.duration","10; 5","2"
"Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","paths.post.input.resolution","1080p; 480p; 720p","3"
"Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","paths.post.model","bytedance/v1-pro-text-to-video","1"
"Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","ApiResponse.code","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","paths.post.input.aspect_ratio","1:1; 16:9; 21:9; 3:4; 4:3; 9:16","6"
"Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","paths.post.input.duration","12; 4; 8","3"
"Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","paths.post.input.resolution","1080p; 480p; 720p","3"
"Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","paths.post.model","bytedance/seedance-1.5-pro","1"
"Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","ApiResponse.code","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","paths.post.input.duration","10; 5","2"
"Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","paths.post.input.resolution","1080p; 720p","2"
"Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","paths.post.model","bytedance/v1-pro-fast-image-to-video","1"
"Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","ApiResponse.code","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","paths.post.input.duration","10; 5","2"
"Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","paths.post.input.resolution","1080p; 480p; 720p","3"
"Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","paths.post.model","bytedance/v1-pro-image-to-video","1"
"Claude Opus 4.5","https://docs.kie.ai/market/claude/claude-opus-4-5.md","Message.role","assistant; developer; system; tool; user","5"
"Claude Opus 4.5","https://docs.kie.ai/market/claude/claude-opus-4-5.md","Message.type","image_url","1"
"Claude Opus 4.5","https://docs.kie.ai/market/claude/claude-opus-4-5.md","paths.post.reasoning_effort","high; low","2"
"Claude Opus 4.5","https://docs.kie.ai/market/claude/claude-opus-4-5.md","Tool.function.parameters.type","object","1"
"Claude Opus 4.5","https://docs.kie.ai/market/claude/claude-opus-4-5.md","Tool.type","function","1"
"Claude Sonnet 4.5","https://docs.kie.ai/market/claude/claude-sonnet-4-5.md","Message.role","assistant; developer; system; tool; user","5"
"Claude Sonnet 4.5","https://docs.kie.ai/market/claude/claude-sonnet-4-5.md","Message.type","text","1"
