"title","url","field","allowed_values","value_count"
"Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","aspect_ratio","1:1; 16:9; 200; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; 9:21","16"
"Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","aspect_ratio","1:1; 16:9; 200; 21:9; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16","16"
"Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","aspect_ratio","1:1; 16:9; 200; 21:9; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16","16"
"Flux-2 - Image to Image","https://docs.kie.ai/market/flux2/flex-image-to-image.md","aspect_ratio","1:1; 16:9; 2:3; 200; 3:2; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; auto","18"
"Flux-2 - Pro Image to Image","https://docs.kie.ai/market/flux2/pro-image-to-image.md","aspect_ratio","1:1; 16:9; 2:3; 200; 3:2; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; auto","18"
"Flux-2 - Pro Text to Image","https://docs.kie.ai/market/flux2/pro-text-to-image.md","aspect_ratio","1:1; 16:9; 2:3; 200; 3:2; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16","17"
"Flux-2 - Text to Image","https://docs.kie.ai/market/flux2/flex-text-to-image.md","aspect_ratio","1:1; 16:9; 2:3; 200; 3:2; 3:4; 4:3; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16","17"
"Google - imagen4","https://docs.kie.ai/market/google/imagen4.md","aspect_ratio","1:1; 16:9; 3:4; 4:3; 9:16","5"
"Google - imagen4-fast","https://docs.kie.ai/market/google/imagen4-fast.md","aspect_ratio","1:1; 16:9; 3:4; 4:3; 9:16","5"
"Google - imagen4-ultra","https://docs.kie.ai/market/google/imagen4-ultra.md","aspect_ratio","1:1; 16:9; 3:4; 4:3; 9:16","5"
"GPT Image-1.5 - Image to Image","https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md","aspect_ratio","1:1; 2:3; 200; 3:2; 401; 402; 404; 422; 429; 455; 500; 501; 505","13"
"GPT Image-1.5 - Text to Image","https://docs.kie.ai/market/gpt-image/1-5-text-to-image.md","aspect_ratio","1:1; 2:3; 200; 3:2; 401; 402; 404; 422; 429; 455; 500; 501; 505","13"
"Grok Imagine - Text to Image","https://docs.kie.ai/market/grok-imagine/text-to-image.md","aspect_ratio","1:1; 16:9; 2:3; 200; 3:2; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16","15"
"Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","aspect_ratio","1:1; 16:9; 2:3; 200; 3:2; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16","15"
"Kling - V2.5 Turbo Text to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-text-to-video-pro.md","aspect_ratio","1:1; 16:9; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16","13"
"Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","aspect_ratio","1:1; 16:9; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16","13"
"Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","aspect_ratio","1:1; 16:9; 9:16","3"
"Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","aspect_ratio","1:1; 16:9; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16","13"
"Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","aspect_ratio","1:1; 16:9; 2:3; 21:9; 3:2; 3:4; 4:3; 9:16","8"
"Seedream4.5 - Text to Image","https://docs.kie.ai/market/seedream/4-5-text-to-image.md","aspect_ratio","1:1; 16:9; 2:3; 21:9; 3:2; 3:4; 4:3; 9:16","8"
"Sora2 - Image to Video","https://docs.kie.ai/market/sora2/sora-2-image-to-video.md","aspect_ratio","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; landscape; portrait","12"
"Sora2 - Pro Image to Video","https://docs.kie.ai/market/sora2/sora-2-pro-image-to-video.md","aspect_ratio","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; landscape; portrait","12"
"Sora2 - Pro Storyboard","https://docs.kie.ai/market/sora-2-pro-storyboard.md","aspect_ratio","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; landscape; portrait","12"
