"field","title","url","allowed_values","value_count"
"aspect_ratio","Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","1:1; 16:9; 3:4; 4:3; 9:16; 9:21","6"
"aspect_ratio","Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","1:1; 16:9; 21:9; 3:4; 4:3; 9:16","6"
"aspect_ratio","Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","1:1; 16:9; 21:9; 3:4; 4:3; 9:16","6"
"aspect_ratio","Flux-2 - Image to Image","https://docs.kie.ai/market/flux2/flex-image-to-image.md","1:1; 16:9; 2:3; 3:2; 3:4; 4:3; 9:16; auto","8"
"aspect_ratio","Flux-2 - Pro Image to Image","https://docs.kie.ai/market/flux2/pro-image-to-image.md","1:1; 16:9; 2:3; 3:2; 3:4; 4:3; 9:16; auto","8"
"aspect_ratio","Flux-2 - Pro Text to Image","https://docs.kie.ai/market/flux2/pro-text-to-image.md","1:1; 16:9; 2:3; 3:2; 3:4; 4:3; 9:16","7"
"aspect_ratio","Flux-2 - Text to Image","https://docs.kie.ai/market/flux2/flex-text-to-image.md","1:1; 16:9; 2:3; 3:2; 3:4; 4:3; 9:16","7"
"aspect_ratio","Google - imagen4","https://docs.kie.ai/market/google/imagen4.md","1:1; 16:9; 3:4; 4:3; 9:16","5"
"aspect_ratio","Google - imagen4-fast","https://docs.kie.ai/market/google/imagen4-fast.md","1:1; 16:9; 3:4; 4:3; 9:16","5"
"aspect_ratio","Google - imagen4-ultra","https://docs.kie.ai/market/google/imagen4-ultra.md","1:1; 16:9; 3:4; 4:3; 9:16","5"
"aspect_ratio","GPT Image-1.5 - Image to Image","https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md","1:1; 2:3; 3:2","3"
"aspect_ratio","GPT Image-1.5 - Text to Image","https://docs.kie.ai/market/gpt-image/1-5-text-to-image.md","1:1; 2:3; 3:2","3"
"aspect_ratio","Grok Imagine - Text to Image","https://docs.kie.ai/market/grok-imagine/text-to-image.md","1:1; 16:9; 2:3; 3:2; 9:16","5"
"aspect_ratio","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","1:1; 16:9; 2:3; 3:2; 9:16","5"
"aspect_ratio","Kling - V2.5 Turbo Text to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-text-to-video-pro.md","1:1; 16:9; 9:16","3"
"aspect_ratio","Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","1:1; 16:9; 9:16","3"
"aspect_ratio","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","1:1; 16:9; 9:16","3"
