"field","title","url","allowed_values","value_count"
"duration","Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"duration","Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"duration","Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"duration","Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","12; 200; 4; 401; 402; 404; 422; 429; 455; 500; 501; 505; 8","13"
"duration","Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"duration","Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
"duration","Generate AI Video","https://docs.kie.ai/runway-api/generate-ai-video.md","1:1; 16:9; 200; 3:4; 4:3; 401; 404; 422; 451; 455; 500; 9:16","12"
"duration","Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","10; 15; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6; value: '6","14"
"duration","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","10; 15; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6; value: '6","14"
"duration","Hailuo 2.3 Pro Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-pro.md","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6","12"
"duration","Hailuo 2.3 Standard Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-standard.md","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6","12"
"duration","Hailuo Standard Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-standard.md","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6","12"
"duration","Hailuo Standard Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-standard.md","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6","12"
"duration","Kling - V2.5 Turbo Image to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-image-to-video-pro.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505","12"
