"field","title","url","allowed_values","value_count"
"duration","Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","10; 5","2"
"duration","Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","10; 5","2"
"duration","Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","10; 5","2"
"duration","Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","12; 4; 8","3"
"duration","Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","10; 5","2"
"duration","Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","10; 5","2"
"duration","Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","10; 15; 6","3"
"duration","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","10; 15; 6","3"
"duration","Hailuo 2.3 Pro Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-pro.md","10; 6","2"
"duration","Hailuo 2.3 Standard Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-standard.md","10; 6","2"
"duration","Hailuo Standard Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-standard.md","10; 6","2"
"duration","Hailuo Standard Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-standard.md","10; 6","2"
"duration","Kling - V2.5 Turbo Image to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-image-to-video-pro.md","10; 5","2"
"duration","Kling - V2.5 Turbo Text to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-text-to-video-pro.md","10; 5","2"
"duration","Kling 2.6 Image to Video","https://docs.kie.ai/market/kling/image-to-video.md","10; 5","2"
"duration","Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","10; 5","2"
"duration","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","10; 11; 12; 13; 14; 15; 3; 4; 5; 6; 7; 8; 9","13"
"duration","Kling V2.1 Master Image to Video","https://docs.kie.ai/market/kling/v2-1-master-image-to-video.md","10; 5","2"
"duration","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","10; 5","2"
"duration","Kling V2.1 Pro","https://docs.kie.ai/market/kling/v2-1-pro.md","10; 5","2"
"duration","Kling V2.1 Standard","https://docs.kie.ai/market/kling/v2-1-standard.md","10; 5","2"
"duration","Sora2 - Pro Storyboard","https://docs.kie.ai/market/sora-2-pro-storyboard.md","10; 15; 25","3"
"duration","Wan - 2.6-flash-image-to-video","https://docs.kie.ai/market/wan/2-6-flash-image-to-video.md","10; 15; 5","3"
"duration","Wan - 2-6-flash-video-to-video","https://docs.kie.ai/market/wan/2-6-flash-video-to-video.md","10; 5","2"
"duration","Wan 2.6 - Image to Video","https://docs.kie.ai/market/wan/2-6-image-to-video.md","10; 15; 5","3"
"duration","Wan 2.6 - Text to Video","https://docs.kie.ai/market/wan/2-6-text-to-video.md","10; 15; 5","3"
"duration","Wan 2.6 - Video to Video","https://docs.kie.ai/market/wan/2-6-video-to-video.md","10; 5","2"
"mode","Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","fun; normal; spicy","3"
"mode","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","fun; normal; spicy","3"
"mode","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","pro; std","2"
"model","Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","bytedance/v1-lite-image-to-video","1"
"model","Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","bytedance/v1-lite-text-to-video","1"
"model","Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","bytedance/v1-pro-text-to-video","1"
"model","Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","bytedance/seedance-1.5-pro","1"
"model","Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","bytedance/v1-pro-fast-image-to-video","1"
"model","Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","bytedance/v1-pro-image-to-video","1"
"model","elevenlabs/audio-isolation","https://docs.kie.ai/market/elevenlabs/audio-isolation.md","elevenlabs/audio-isolation","1"
"model","elevenlabs/speech-to-text","https://docs.kie.ai/market/elevenlabs/speech-to-text.md","elevenlabs/speech-to-text","1"
"model","elevenlabs/text-to-speech-multilingual-v2","https://docs.kie.ai/market/elevenlabs/text-to-speech-multilingual-v2.md","elevenlabs/text-to-speech-multilingual-v2","1"
"model","elevenlabs/text-to-speech-turbo-2-5","https://docs.kie.ai/market/elevenlabs/text-to-speech-turbo-2-5.md","elevenlabs/text-to-speech-turbo-2-5","1"
"model","Flux-2 - Image to Image","https://docs.kie.ai/market/flux2/flex-image-to-image.md","flux-2/flex-image-to-image","1"
"model","Flux-2 - Pro Image to Image","https://docs.kie.ai/market/flux2/pro-image-to-image.md","flux-2/pro-image-to-image","1"
"model","Flux-2 - Pro Text to Image","https://docs.kie.ai/market/flux2/pro-text-to-image.md","flux-2/pro-text-to-image","1"
"model","Flux-2 - Text to Image","https://docs.kie.ai/market/flux2/flex-text-to-image.md","flux-2/flex-text-to-image","1"
"model","Generate or Edit Image","https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md","flux-kontext-max; flux-kontext-pro","2"
"model","Google - imagen4","https://docs.kie.ai/market/google/imagen4.md","google/imagen4","1"
"model","Google - imagen4-fast","https://docs.kie.ai/market/google/imagen4-fast.md","google/imagen4-fast","1"
"model","Google - imagen4-ultra","https://docs.kie.ai/market/google/imagen4-ultra.md","google/imagen4-ultra","1"
"model","GPT Image-1.5 - Image to Image","https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md","gpt-image/1.5-image-to-image","1"
"model","GPT Image-1.5 - Text to Image","https://docs.kie.ai/market/gpt-image/1-5-text-to-image.md","gpt-image/1.5-text-to-image","1"
"model","Grok Imagine - image to image","https://docs.kie.ai/market/grok-imagine/image-to-image.md","grok-imagine/image-to-image","1"
"model","Grok Imagine - Text to Image","https://docs.kie.ai/market/grok-imagine/text-to-image.md","grok-imagine/text-to-image","1"
"model","Grok Imagine - Video Upscale","https://docs.kie.ai/market/grok-imagine/upscale.md","grok-imagine/upscale","1"
"model","Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","grok-imagine/image-to-video","1"
"model","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","grok-imagine/text-to-video","1"
"model","Hailuo 2.3 Pro Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-pro.md","hailuo/2-3-image-to-video-pro","1"
"model","Hailuo 2.3 Standard Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-standard.md","hailuo/2-3-image-to-video-standard","1"
"model","Hailuo Pro Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-pro.md","hailuo/02-image-to-video-pro","1"
"model","Hailuo Pro Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-pro.md","hailuo/02-text-to-video-pro","1"
"model","Hailuo Standard Image to Video","https://docs.kie.ai/market/hailuo/02-image-to-video-standard.md","hailuo/02-image-to-video-standard","1"
"model","Hailuo Standard Text to Video","https://docs.kie.ai/market/hailuo/02-text-to-video-standard.md","hailuo/02-text-to-video-standard","1"
"model","Ideogram - Character","https://docs.kie.ai/market/ideogram/character.md","balanced; ideogram/character; quality; turbo","4"
"model","Ideogram - Character Edit","https://docs.kie.ai/market/ideogram/character-edit.md","balanced; ideogram/character-edit; quality; turbo","4"
"model","Ideogram - Character Remix","https://docs.kie.ai/market/ideogram/character-remix.md","balanced; ideogram/character-remix; quality; turbo","4"
"model","Ideogram - V3 Reframe","https://docs.kie.ai/market/ideogram/v3-reframe.md","ideogram/v3-reframe; square","2"
"model","Infinitalk - From Audio","https://docs.kie.ai/market/infinitalk/from-audio.md","infinitalk/from-audio","1"
"model","Kling - V2.5 Turbo Image to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-image-to-video-pro.md","kling/v2-1-master-image-to-video","1"
"model","Kling - V2.5 Turbo Text to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-text-to-video-pro.md","kling/v2-5-turbo-text-to-video-pro","1"
"model","Kling 2.6 Image to Video","https://docs.kie.ai/market/kling/image-to-video.md","kling-2.6/image-to-video","1"
"model","Kling 2.6 motion-control","https://docs.kie.ai/market/kling/motion-control.md","image; kling-2.6/motion-control; video","3"
"model","Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","kling-2.6/text-to-video","1"
"model","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","kling-3.0/video","1"
"model","Kling AI Avatar Pro","https://docs.kie.ai/market/kling/ai-avatar-pro.md","kling/ai-avatar-pro","1"
"model","Kling AI Avatar Standard","https://docs.kie.ai/market/kling/ai-avatar-standard.md","kling/ai-avatar-standard","1"
"model","Kling V2.1 Master Image to Video","https://docs.kie.ai/market/kling/v2-1-master-image-to-video.md","kling/v2-1-master-image-to-video","1"
"model","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","kling/v2-1-master-text-to-video","1"
"model","Kling V2.1 Pro","https://docs.kie.ai/market/kling/v2-1-pro.md","kling/v2-1-pro","1"
"model","Kling V2.1 Standard","https://docs.kie.ai/market/kling/v2-1-standard.md","kling/v2-1-standard","1"
