rule_id,profile_code,source_ratio,source_quality,target_field,target_value,priority,fallback_action,description,is_active
R001,P1,9:16,2k,paths.post.input.aspect_ratio,9:16,10,fail_if_not_supported,用户选定比例直填aspect_ratio,1
R002,P1,9:16,2k,paths.post.input.resolution,2k,20,degrade_quality_to_1080p,用户选定清晰度直填resolution,1
R003,P2,9:16,2k,paths.post.input.aspect_ratio,9:16,10,fail_if_not_supported,用户选定比例直填aspect_ratio,1
R004,P2,9:16,2k,paths.post.input.image_resolution,2k,20,degrade_quality_to_1k,用户选定清晰度映射到image_resolution,1
R005,P3,9:16,2k,paths.post.input.size,9:16,10,map_to_nearest_size,使用size承载比例语义,1
R006,P3,9:16,2k,paths.post.input.resolution,2k,20,degrade_quality_to_1080p,清晰度映射到resolution,1
R007,P4,9:16,2k,paths.post.input.size,9:16,10,map_to_nearest_size,使用size承载比例语义,1
R008,P4,9:16,2k,paths.post.input.image_resolution,2k,20,degrade_quality_to_1k,清晰度映射到image_resolution,1
R009,P5,9:16,2k,paths.post.input.image_size,square,10,keep_square_and_warn_ratio_conflict,仅支持square时固定image_size,1
R010,P5,9:16,2k,paths.post.input.image_resolution,2k,20,degrade_quality_to_1k,只下发image_resolution,1
R011,P6,9:16,2k,paths.post.input.aspect_ratio,9:16,10,fail_if_not_supported,仅支持比例字段时下发aspect_ratio,1
R012,P6,9:16,2k,paths.post.input.resolution,,20,use_model_default,不支持清晰度字段时不下发,1
R013,P7,9:16,2k,paths.post.input.resolution,2k,10,degrade_quality_to_1080p,仅支持清晰度字段时下发resolution,1
R014,P7,9:16,2k,paths.post.input.aspect_ratio,,20,use_model_default,不支持比例字段时不下发,1
R015,P1,16:9,2k,paths.post.input.aspect_ratio,16:9,10,fail_if_not_supported,补充常见比例规则,1
R016,P1,16:9,2k,paths.post.input.resolution,2k,20,degrade_quality_to_1080p,补充常见清晰度规则,1
R017,P1,1:1,1k,paths.post.input.aspect_ratio,1:1,10,fail_if_not_supported,补充社媒方图规则,1
R018,P1,1:1,1k,paths.post.input.resolution,1k,20,degrade_quality_to_720p,补充基础清晰度规则,1
