provider,model_key_inferred,model_title,model_url,source_field,standard_dimension,standard_value,mapped_api_enum_value,mapping_rule,is_mapped
kie,4o-image-api/generate-4-o-image,Generate 4o Image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,paths.post.input.size,ASPECT_RATIO,16:9,3:2,nearest_ratio,1
kie,4o-image-api/generate-4-o-image,Generate 4o Image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,paths.post.input.size,ASPECT_RATIO,1:1,1:1,exact,1
kie,4o-image-api/generate-4-o-image,Generate 4o Image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,paths.post.input.size,ASPECT_RATIO,21:9,3:2,nearest_ratio,1
kie,4o-image-api/generate-4-o-image,Generate 4o Image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,paths.post.input.size,ASPECT_RATIO,2:3,2:3,exact,1
kie,4o-image-api/generate-4-o-image,Generate 4o Image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,paths.post.input.size,ASPECT_RATIO,3:2,3:2,exact,1
kie,4o-image-api/generate-4-o-image,Generate 4o Image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,paths.post.input.size,ASPECT_RATIO,3:4,2:3,nearest_ratio,1
kie,4o-image-api/generate-4-o-image,Generate 4o Image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,paths.post.input.size,ASPECT_RATIO,4:3,3:2,nearest_ratio,1
kie,4o-image-api/generate-4-o-image,Generate 4o Image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,paths.post.input.size,ASPECT_RATIO,9:16,2:3,nearest_ratio,1
kie,4o-image-api/generate-4-o-image,Generate 4o Image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,paths.post.input.size,ASPECT_RATIO,9:21,2:3,nearest_ratio,1
kie,4o-image-api/generate-4-o-image,Generate 4o Image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,paths.post.input.size,ASPECT_RATIO,AUTO,1:1,fallback_baseline,1
kie,bytedance/seedance-1-5-pro,Bytedance Seedance 1.5 Pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,paths.post.input.aspect_ratio,ASPECT_RATIO,16:9,16:9,exact,1
kie,bytedance/seedance-1-5-pro,Bytedance Seedance 1.5 Pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,paths.post.input.aspect_ratio,ASPECT_RATIO,1:1,1:1,exact,1
kie,bytedance/seedance-1-5-pro,Bytedance Seedance 1.5 Pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,paths.post.input.aspect_ratio,ASPECT_RATIO,21:9,21:9,exact,1
kie,bytedance/seedance-1-5-pro,Bytedance Seedance 1.5 Pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,paths.post.input.aspect_ratio,ASPECT_RATIO,2:3,3:4,nearest_ratio,1
kie,bytedance/seedance-1-5-pro,Bytedance Seedance 1.5 Pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:2,4:3,nearest_ratio,1
kie,bytedance/seedance-1-5-pro,Bytedance Seedance 1.5 Pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:4,3:4,exact,1
kie,bytedance/seedance-1-5-pro,Bytedance Seedance 1.5 Pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,paths.post.input.aspect_ratio,ASPECT_RATIO,4:3,4:3,exact,1
kie,bytedance/seedance-1-5-pro,Bytedance Seedance 1.5 Pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:16,9:16,exact,1
kie,bytedance/seedance-1-5-pro,Bytedance Seedance 1.5 Pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:21,9:16,nearest_ratio,1
kie,bytedance/seedance-1-5-pro,Bytedance Seedance 1.5 Pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,paths.post.input.aspect_ratio,ASPECT_RATIO,AUTO,1:1,fallback_baseline,1
kie,bytedance/v1-lite-text-to-video,Bytedance - V1 Lite Text to Video,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,16:9,16:9,exact,1
kie,bytedance/v1-lite-text-to-video,Bytedance - V1 Lite Text to Video,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,1:1,1:1,exact,1
kie,bytedance/v1-lite-text-to-video,Bytedance - V1 Lite Text to Video,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,21:9,16:9,nearest_ratio,1
kie,bytedance/v1-lite-text-to-video,Bytedance - V1 Lite Text to Video,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,2:3,3:4,nearest_ratio,1
kie,bytedance/v1-lite-text-to-video,Bytedance - V1 Lite Text to Video,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:2,4:3,nearest_ratio,1
kie,bytedance/v1-lite-text-to-video,Bytedance - V1 Lite Text to Video,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:4,3:4,exact,1
kie,bytedance/v1-lite-text-to-video,Bytedance - V1 Lite Text to Video,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,4:3,4:3,exact,1
kie,bytedance/v1-lite-text-to-video,Bytedance - V1 Lite Text to Video,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:16,9:16,exact,1
kie,bytedance/v1-lite-text-to-video,Bytedance - V1 Lite Text to Video,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:21,9:21,exact,1
kie,bytedance/v1-lite-text-to-video,Bytedance - V1 Lite Text to Video,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,AUTO,1:1,fallback_baseline,1
kie,bytedance/v1-pro-text-to-video,Bytedance - V1 Pro Text to Video,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,16:9,16:9,exact,1
kie,bytedance/v1-pro-text-to-video,Bytedance - V1 Pro Text to Video,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,1:1,1:1,exact,1
kie,bytedance/v1-pro-text-to-video,Bytedance - V1 Pro Text to Video,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,21:9,21:9,exact,1
kie,bytedance/v1-pro-text-to-video,Bytedance - V1 Pro Text to Video,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,2:3,3:4,nearest_ratio,1
kie,bytedance/v1-pro-text-to-video,Bytedance - V1 Pro Text to Video,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:2,4:3,nearest_ratio,1
kie,bytedance/v1-pro-text-to-video,Bytedance - V1 Pro Text to Video,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:4,3:4,exact,1
kie,bytedance/v1-pro-text-to-video,Bytedance - V1 Pro Text to Video,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,4:3,4:3,exact,1
kie,bytedance/v1-pro-text-to-video,Bytedance - V1 Pro Text to Video,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:16,9:16,exact,1
kie,bytedance/v1-pro-text-to-video,Bytedance - V1 Pro Text to Video,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:21,9:16,nearest_ratio,1
kie,bytedance/v1-pro-text-to-video,Bytedance - V1 Pro Text to Video,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,paths.post.input.aspect_ratio,ASPECT_RATIO,AUTO,1:1,fallback_baseline,1
kie,flux-kontext-api/generate-or-edit-image,Generate or Edit Image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,16:9,16:9,exact,1
kie,flux-kontext-api/generate-or-edit-image,Generate or Edit Image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,1:1,1:1,exact,1
kie,flux-kontext-api/generate-or-edit-image,Generate or Edit Image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,21:9,21:9,exact,1
kie,flux-kontext-api/generate-or-edit-image,Generate or Edit Image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,2:3,3:4,nearest_ratio,1
