standard_dimension,standard_value,value_type,definition,alias_values
ASPECT_RATIO,16:9,enum,画面宽高比标准值,landscape
ASPECT_RATIO,1:1,enum,画面宽高比标准值,
ASPECT_RATIO,21:9,enum,画面宽高比标准值,
ASPECT_RATIO,2:3,enum,画面宽高比标准值,
ASPECT_RATIO,3:2,enum,画面宽高比标准值,
ASPECT_RATIO,3:4,enum,画面宽高比标准值,
ASPECT_RATIO,4:3,enum,画面宽高比标准值,
ASPECT_RATIO,9:16,enum,画面宽高比标准值,portrait
ASPECT_RATIO,9:21,enum,画面宽高比标准值,
ASPECT_RATIO,AUTO,enum,画面宽高比标准值,
CHARACTER_ORIENTATION,IMAGE,enum,角色朝向,
CHARACTER_ORIENTATION,VIDEO,enum,角色朝向,
DURATION_SECONDS,10,number,时长（秒）,
DURATION_SECONDS,11,number,时长（秒）,
DURATION_SECONDS,12,number,时长（秒）,
DURATION_SECONDS,13,number,时长（秒）,
DURATION_SECONDS,14,number,时长（秒）,
DURATION_SECONDS,15,number,时长（秒）,
DURATION_SECONDS,25,number,时长（秒）,
DURATION_SECONDS,3,number,时长（秒）,
DURATION_SECONDS,4,number,时长（秒）,
DURATION_SECONDS,5,number,时长（秒）,
DURATION_SECONDS,6,number,时长（秒）,
DURATION_SECONDS,7,number,时长（秒）,
DURATION_SECONDS,8,number,时长（秒）,
DURATION_SECONDS,9,number,时长（秒）,
IMAGE_SIZE_CLASS,SQUARE,enum,图像尺寸类别,
MODE,FUN,enum,生成模式标准值,
MODE,NORMAL,enum,生成模式标准值,
MODE,PRO,enum,生成模式标准值,
MODE,SPICY,enum,生成模式标准值,
MODE,STANDARD,enum,生成模式标准值,std
MODEL_ID,bytedance/seedance-1.5-pro,string,模型唯一标识,
MODEL_ID,bytedance/seedream,string,模型唯一标识,
MODEL_ID,bytedance/seedream-v4-edit,string,模型唯一标识,
MODEL_ID,bytedance/seedream-v4-text-to-image,string,模型唯一标识,
MODEL_ID,bytedance/v1-lite-image-to-video,string,模型唯一标识,
MODEL_ID,bytedance/v1-lite-text-to-video,string,模型唯一标识,
MODEL_ID,bytedance/v1-pro-fast-image-to-video,string,模型唯一标识,
MODEL_ID,bytedance/v1-pro-image-to-video,string,模型唯一标识,
MODEL_ID,bytedance/v1-pro-text-to-video,string,模型唯一标识,
MODEL_ID,elevenlabs/audio-isolation,string,模型唯一标识,
MODEL_ID,elevenlabs/speech-to-text,string,模型唯一标识,
MODEL_ID,elevenlabs/text-to-speech-multilingual-v2,string,模型唯一标识,
MODEL_ID,elevenlabs/text-to-speech-turbo-2-5,string,模型唯一标识,
MODEL_ID,flux-2/flex-image-to-image,string,模型唯一标识,
MODEL_ID,flux-2/flex-text-to-image,string,模型唯一标识,
MODEL_ID,flux-2/pro-image-to-image,string,模型唯一标识,
MODEL_ID,flux-2/pro-text-to-image,string,模型唯一标识,
MODEL_ID,flux-kontext-max,string,模型唯一标识,
MODEL_ID,flux-kontext-pro,string,模型唯一标识,
MODEL_ID,google/imagen4,string,模型唯一标识,
MODEL_ID,google/imagen4-fast,string,模型唯一标识,
MODEL_ID,google/imagen4-ultra,string,模型唯一标识,
MODEL_ID,gpt-image/1.5-image-to-image,string,模型唯一标识,
MODEL_ID,gpt-image/1.5-text-to-image,string,模型唯一标识,
MODEL_ID,grok-imagine/image-to-image,string,模型唯一标识,
MODEL_ID,grok-imagine/image-to-video,string,模型唯一标识,
MODEL_ID,grok-imagine/text-to-image,string,模型唯一标识,
MODEL_ID,grok-imagine/text-to-video,string,模型唯一标识,
MODEL_ID,grok-imagine/upscale,string,模型唯一标识,
MODEL_ID,hailuo/02-image-to-video-pro,string,模型唯一标识,
MODEL_ID,hailuo/02-image-to-video-standard,string,模型唯一标识,
MODEL_ID,hailuo/02-text-to-video-pro,string,模型唯一标识,
MODEL_ID,hailuo/02-text-to-video-standard,string,模型唯一标识,
MODEL_ID,hailuo/2-3-image-to-video-pro,string,模型唯一标识,
MODEL_ID,hailuo/2-3-image-to-video-standard,string,模型唯一标识,
MODEL_ID,ideogram/character,string,模型唯一标识,
MODEL_ID,ideogram/character-edit,string,模型唯一标识,
MODEL_ID,ideogram/character-remix,string,模型唯一标识,
MODEL_ID,ideogram/v3-reframe,string,模型唯一标识,
MODEL_ID,infinitalk/from-audio,string,模型唯一标识,
MODEL_ID,kling-2.6/image-to-video,string,模型唯一标识,
MODEL_ID,kling-2.6/motion-control,string,模型唯一标识,
MODEL_ID,kling-2.6/text-to-video,string,模型唯一标识,
MODEL_ID,kling-3.0/video,string,模型唯一标识,
MODEL_ID,kling/ai-avatar-pro,string,模型唯一标识,
MODEL_ID,kling/ai-avatar-standard,string,模型唯一标识,
MODEL_ID,kling/v2-1-master-image-to-video,string,模型唯一标识,
MODEL_ID,kling/v2-1-master-text-to-video,string,模型唯一标识,
MODEL_ID,kling/v2-1-pro,string,模型唯一标识,
MODEL_ID,kling/v2-1-standard,string,模型唯一标识,
MODEL_ID,kling/v2-5-turbo-text-to-video-pro,string,模型唯一标识,
MODEL_ID,qwen/image-edit,string,模型唯一标识,
MODEL_ID,qwen/image-to-image,string,模型唯一标识,
MODEL_ID,qwen/text-to-image,string,模型唯一标识,
MODEL_ID,recraft/crisp-upscale,string,模型唯一标识,
MODEL_ID,recraft/remove-background,string,模型唯一标识,
MODEL_ID,seedream/4.5-edit,string,模型唯一标识,
MODEL_ID,seedream/4.5-text-to-image,string,模型唯一标识,
MODEL_ID,sora-2-characters,string,模型唯一标识,
MODEL_ID,sora-2-characters-pro,string,模型唯一标识,
MODEL_ID,sora-2-image-to-video,string,模型唯一标识,
MODEL_ID,sora-2-pro-image-to-video,string,模型唯一标识,
MODEL_ID,sora-2-pro-storyboard,string,模型唯一标识,
MODEL_ID,sora-2-pro-text-to-video,string,模型唯一标识,
MODEL_ID,sora-2-text-to-video,string,模型唯一标识,
MODEL_ID,sora-watermark-remover,string,模型唯一标识,
MODEL_ID,topaz/image-upscale,string,模型唯一标识,
MODEL_ID,topaz/video-upscale,string,模型唯一标识,
MODEL_ID,wan/2-2-a14b-image-to-video-turbo,string,模型唯一标识,
MODEL_ID,wan/2-2-a14b-speech-to-video-turbo,string,模型唯一标识,
MODEL_ID,wan/2-2-a14b-text-to-video-turbo,string,模型唯一标识,
MODEL_ID,wan/2-2-animate-move,string,模型唯一标识,
MODEL_ID,wan/2-2-animate-replace,string,模型唯一标识,
MODEL_ID,wan/2-6-flash-image-to-video,string,模型唯一标识,
MODEL_ID,wan/2-6-flash-video-to-video,string,模型唯一标识,
MODEL_ID,wan/2-6-image-to-video,string,模型唯一标识,
MODEL_ID,wan/2-6-text-to-video,string,模型唯一标识,
MODEL_ID,wan/2-6-video-to-video,string,模型唯一标识,
MODEL_ID,z-image,string,模型唯一标识,
MULTI_SHOTS_SUPPORTED,FALSE,boolean,是否支持多镜头,
NUM_IMAGES,1,number,单次输出图片数量,
NUM_IMAGES,2,number,单次输出图片数量,
NUM_IMAGES,3,number,单次输出图片数量,
NUM_IMAGES,4,number,单次输出图片数量,
OUTPUT_FORMAT,JPEG,enum,输出格式标准值,
OUTPUT_FORMAT,PNG,enum,输出格式标准值,
QUALITY_LEVEL,BASIC,enum,质量档位标准值,
QUALITY_LEVEL,HIGH,enum,质量档位标准值,
QUALITY_LEVEL,MEDIUM,enum,质量档位标准值,
REASONING_EFFORT,HIGH,enum,推理强度,
REASONING_EFFORT,LOW,enum,推理强度,
RESOLUTION_TIER,K1,enum,分辨率标准档位,1k
RESOLUTION_TIER,K2,enum,分辨率标准档位,2k
RESOLUTION_TIER,K4,enum,分辨率标准档位,4k
RESOLUTION_TIER,P1080,enum,分辨率标准档位,1080p
RESOLUTION_TIER,P480,enum,分辨率标准档位,480p
RESOLUTION_TIER,P512,enum,分辨率标准档位,512p
RESOLUTION_TIER,P580,enum,分辨率标准档位,580p
RESOLUTION_TIER,P720,enum,分辨率标准档位,720p
RESOLUTION_TIER,P768,enum,分辨率标准档位,768p
SAFETY_TOLERANCE,0,number,安全容忍度,
SAFETY_TOLERANCE,1,number,安全容忍度,
SAFETY_TOLERANCE,2,number,安全容忍度,
SAFETY_TOLERANCE,3,number,安全容忍度,
SAFETY_TOLERANCE,4,number,安全容忍度,
SAFETY_TOLERANCE,5,number,安全容忍度,
SAFETY_TOLERANCE,6,number,安全容忍度,
SOUND_SUPPORTED,FALSE,boolean,是否支持声音,
SOUND_SUPPORTED,TRUE,boolean,是否支持声音,
STYLE,AUTO,enum,风格标准值,
STYLE,DESIGN,enum,风格标准值,
STYLE,FICTION,enum,风格标准值,
STYLE,GENERAL,enum,风格标准值,
STYLE,REALISTIC,enum,风格标准值,
UPSCALE_FACTOR,1,number,放大倍数,
UPSCALE_FACTOR,2,number,放大倍数,
UPSCALE_FACTOR,4,number,放大倍数,
UPSCALE_FACTOR,8,number,放大倍数,
VOICE_ID,0SpgpJ4D3MpHCiWdyTg3,string,音色/voice 标识,
VOICE_ID,1KFdM0QCwQn4rmn5nn9C,string,音色/voice 标识,
VOICE_ID,1SM7GgM6IMuvQlz2BwM3,string,音色/voice 标识,
VOICE_ID,1U02n4nD6AdIZ9CjF053,string,音色/voice 标识,
VOICE_ID,1cxc5c3E9K6F1wlqOJGV,string,音色/voice 标识,
VOICE_ID,1hlpeD1ydbI2ow0Tt3EW,string,音色/voice 标识,
VOICE_ID,1wGbFxmAM3Fgw63G1zZJ,string,音色/voice 标识,
VOICE_ID,2zRM7PkgwBPiau2jvVXc,string,音色/voice 标识,
VOICE_ID,4YYIPFl9wE5c4L2eu2Gb,string,音色/voice 标识,
VOICE_ID,56AoDkrOh6qfVPDXZ7Pt,string,音色/voice 标识,
VOICE_ID,5l5f8iK3YPeGga21rQIX,string,音色/voice 标识,
VOICE_ID,6F5Zhi321D3Oq7v1oNT4,string,音色/voice 标识,
VOICE_ID,6aDn1KB0hjpdcocrUkmq,string,音色/voice 标识,
VOICE_ID,8JVbfL6oEdmuxKn5DK2C,string,音色/voice 标识,
VOICE_ID,9PVP7ENhDskL0KYHAKtD,string,音色/voice 标识,
VOICE_ID,9yzdeviXkFddZ4Oz8Mok,string,音色/voice 标识,
