provider,model_title,model_url,model_key_inferred,source_field,source_enum_value,standard_dimension,standard_value,confidence,note
kie,4o-image-api/generate-4-o-image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,4o-image-api/generate-4-o-image,paths.post.input.size,3:2,ASPECT_RATIO,16:9,MEDIUM,std_to_api:nearest_ratio
kie,4o-image-api/generate-4-o-image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,4o-image-api/generate-4-o-image,paths.post.input.size,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,4o-image-api/generate-4-o-image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,4o-image-api/generate-4-o-image,paths.post.input.size,3:2,ASPECT_RATIO,21:9,MEDIUM,std_to_api:nearest_ratio
kie,4o-image-api/generate-4-o-image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,4o-image-api/generate-4-o-image,paths.post.input.size,2:3,ASPECT_RATIO,2:3,HIGH,std_to_api:exact
kie,4o-image-api/generate-4-o-image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,4o-image-api/generate-4-o-image,paths.post.input.size,3:2,ASPECT_RATIO,3:2,HIGH,std_to_api:exact
kie,4o-image-api/generate-4-o-image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,4o-image-api/generate-4-o-image,paths.post.input.size,2:3,ASPECT_RATIO,3:4,MEDIUM,std_to_api:nearest_ratio
kie,4o-image-api/generate-4-o-image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,4o-image-api/generate-4-o-image,paths.post.input.size,3:2,ASPECT_RATIO,4:3,MEDIUM,std_to_api:nearest_ratio
kie,4o-image-api/generate-4-o-image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,4o-image-api/generate-4-o-image,paths.post.input.size,2:3,ASPECT_RATIO,9:16,MEDIUM,std_to_api:nearest_ratio
kie,4o-image-api/generate-4-o-image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,4o-image-api/generate-4-o-image,paths.post.input.size,2:3,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,4o-image-api/generate-4-o-image,https://docs.kie.ai/4o-image-api/generate-4-o-image.md,4o-image-api/generate-4-o-image,paths.post.input.size,1:1,ASPECT_RATIO,AUTO,LOW,std_to_api:fallback_baseline
kie,bytedance/seedance-1-5-pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,bytedance/seedance-1-5-pro,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,bytedance/seedance-1-5-pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,bytedance/seedance-1-5-pro,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,bytedance/seedance-1-5-pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,bytedance/seedance-1-5-pro,paths.post.input.aspect_ratio,21:9,ASPECT_RATIO,21:9,HIGH,std_to_api:exact
kie,bytedance/seedance-1-5-pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,bytedance/seedance-1-5-pro,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,2:3,MEDIUM,std_to_api:nearest_ratio
kie,bytedance/seedance-1-5-pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,bytedance/seedance-1-5-pro,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,3:2,MEDIUM,std_to_api:nearest_ratio
kie,bytedance/seedance-1-5-pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,bytedance/seedance-1-5-pro,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,3:4,HIGH,std_to_api:exact
kie,bytedance/seedance-1-5-pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,bytedance/seedance-1-5-pro,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,4:3,HIGH,std_to_api:exact
kie,bytedance/seedance-1-5-pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,bytedance/seedance-1-5-pro,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:16,HIGH,std_to_api:exact
kie,bytedance/seedance-1-5-pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,bytedance/seedance-1-5-pro,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,bytedance/seedance-1-5-pro,https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md,bytedance/seedance-1-5-pro,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,AUTO,LOW,std_to_api:fallback_baseline
kie,bytedance/v1-lite,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,bytedance/v1-lite,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,bytedance/v1-lite,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,bytedance/v1-lite,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,bytedance/v1-lite,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,bytedance/v1-lite,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,21:9,MEDIUM,std_to_api:nearest_ratio
kie,bytedance/v1-lite,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,bytedance/v1-lite,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,2:3,MEDIUM,std_to_api:nearest_ratio
kie,bytedance/v1-lite,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,bytedance/v1-lite,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,3:2,MEDIUM,std_to_api:nearest_ratio
kie,bytedance/v1-lite,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,bytedance/v1-lite,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,3:4,HIGH,std_to_api:exact
kie,bytedance/v1-lite,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,bytedance/v1-lite,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,4:3,HIGH,std_to_api:exact
kie,bytedance/v1-lite,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,bytedance/v1-lite,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:16,HIGH,std_to_api:exact
kie,bytedance/v1-lite,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,bytedance/v1-lite,paths.post.input.aspect_ratio,9:21,ASPECT_RATIO,9:21,HIGH,std_to_api:exact
kie,bytedance/v1-lite,https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md,bytedance/v1-lite,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,AUTO,LOW,std_to_api:fallback_baseline
kie,bytedance/v1-pro,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,bytedance/v1-pro,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,bytedance/v1-pro,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,bytedance/v1-pro,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,bytedance/v1-pro,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,bytedance/v1-pro,paths.post.input.aspect_ratio,21:9,ASPECT_RATIO,21:9,HIGH,std_to_api:exact
kie,bytedance/v1-pro,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,bytedance/v1-pro,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,2:3,MEDIUM,std_to_api:nearest_ratio
kie,bytedance/v1-pro,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,bytedance/v1-pro,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,3:2,MEDIUM,std_to_api:nearest_ratio
kie,bytedance/v1-pro,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,bytedance/v1-pro,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,3:4,HIGH,std_to_api:exact
kie,bytedance/v1-pro,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,bytedance/v1-pro,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,4:3,HIGH,std_to_api:exact
kie,bytedance/v1-pro,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,bytedance/v1-pro,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:16,HIGH,std_to_api:exact
kie,bytedance/v1-pro,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,bytedance/v1-pro,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,bytedance/v1-pro,https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md,bytedance/v1-pro,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,AUTO,LOW,std_to_api:fallback_baseline
kie,flux-kontext-api/generate-or-edit-image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,flux-kontext-api/generate-or-edit-image,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,flux-kontext-api/generate-or-edit-image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,flux-kontext-api/generate-or-edit-image,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,flux-kontext-api/generate-or-edit-image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,flux-kontext-api/generate-or-edit-image,paths.post.input.aspect_ratio,21:9,ASPECT_RATIO,21:9,HIGH,std_to_api:exact
kie,flux-kontext-api/generate-or-edit-image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,flux-kontext-api/generate-or-edit-image,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,2:3,MEDIUM,std_to_api:nearest_ratio
kie,flux-kontext-api/generate-or-edit-image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,flux-kontext-api/generate-or-edit-image,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,3:2,MEDIUM,std_to_api:nearest_ratio
kie,flux-kontext-api/generate-or-edit-image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,flux-kontext-api/generate-or-edit-image,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,3:4,HIGH,std_to_api:exact
kie,flux-kontext-api/generate-or-edit-image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,flux-kontext-api/generate-or-edit-image,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,4:3,HIGH,std_to_api:exact
kie,flux-kontext-api/generate-or-edit-image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,flux-kontext-api/generate-or-edit-image,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:16,HIGH,std_to_api:exact
kie,flux-kontext-api/generate-or-edit-image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,flux-kontext-api/generate-or-edit-image,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,flux-kontext-api/generate-or-edit-image,https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md,flux-kontext-api/generate-or-edit-image,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,AUTO,LOW,std_to_api:fallback_baseline
kie,flux2/flex,https://docs.kie.ai/market/flux2/flex-image-to-image.md,flux2/flex,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,flux2/flex,https://docs.kie.ai/market/flux2/flex-image-to-image.md,flux2/flex,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,flux2/flex,https://docs.kie.ai/market/flux2/flex-image-to-image.md,flux2/flex,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,21:9,MEDIUM,std_to_api:nearest_ratio
kie,flux2/flex,https://docs.kie.ai/market/flux2/flex-image-to-image.md,flux2/flex,paths.post.input.aspect_ratio,2:3,ASPECT_RATIO,2:3,HIGH,std_to_api:exact
kie,flux2/flex,https://docs.kie.ai/market/flux2/flex-image-to-image.md,flux2/flex,paths.post.input.aspect_ratio,3:2,ASPECT_RATIO,3:2,HIGH,std_to_api:exact
kie,flux2/flex,https://docs.kie.ai/market/flux2/flex-image-to-image.md,flux2/flex,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,3:4,HIGH,std_to_api:exact
kie,flux2/flex,https://docs.kie.ai/market/flux2/flex-image-to-image.md,flux2/flex,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,4:3,HIGH,std_to_api:exact
kie,flux2/flex,https://docs.kie.ai/market/flux2/flex-image-to-image.md,flux2/flex,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:16,HIGH,std_to_api:exact
kie,flux2/flex,https://docs.kie.ai/market/flux2/flex-image-to-image.md,flux2/flex,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,flux2/flex,https://docs.kie.ai/market/flux2/flex-image-to-image.md,flux2/flex,paths.post.input.aspect_ratio,auto,ASPECT_RATIO,AUTO,HIGH,std_to_api:exact
kie,flux2/pro,https://docs.kie.ai/market/flux2/pro-image-to-image.md,flux2/pro,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,flux2/pro,https://docs.kie.ai/market/flux2/pro-image-to-image.md,flux2/pro,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,flux2/pro,https://docs.kie.ai/market/flux2/pro-image-to-image.md,flux2/pro,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,21:9,MEDIUM,std_to_api:nearest_ratio
kie,flux2/pro,https://docs.kie.ai/market/flux2/pro-image-to-image.md,flux2/pro,paths.post.input.aspect_ratio,2:3,ASPECT_RATIO,2:3,HIGH,std_to_api:exact
kie,flux2/pro,https://docs.kie.ai/market/flux2/pro-image-to-image.md,flux2/pro,paths.post.input.aspect_ratio,3:2,ASPECT_RATIO,3:2,HIGH,std_to_api:exact
kie,flux2/pro,https://docs.kie.ai/market/flux2/pro-image-to-image.md,flux2/pro,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,3:4,HIGH,std_to_api:exact
kie,flux2/pro,https://docs.kie.ai/market/flux2/pro-image-to-image.md,flux2/pro,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,4:3,HIGH,std_to_api:exact
kie,flux2/pro,https://docs.kie.ai/market/flux2/pro-image-to-image.md,flux2/pro,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:16,HIGH,std_to_api:exact
kie,flux2/pro,https://docs.kie.ai/market/flux2/pro-image-to-image.md,flux2/pro,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,flux2/pro,https://docs.kie.ai/market/flux2/pro-image-to-image.md,flux2/pro,paths.post.input.aspect_ratio,auto,ASPECT_RATIO,AUTO,HIGH,std_to_api:exact
kie,google/imagen4,https://docs.kie.ai/market/google/imagen4.md,google/imagen4,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,google/imagen4,https://docs.kie.ai/market/google/imagen4.md,google/imagen4,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,google/imagen4,https://docs.kie.ai/market/google/imagen4.md,google/imagen4,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,21:9,MEDIUM,std_to_api:nearest_ratio
kie,google/imagen4,https://docs.kie.ai/market/google/imagen4.md,google/imagen4,paths.post.input.aspect_ratio,3:4,ASPECT_RATIO,2:3,MEDIUM,std_to_api:nearest_ratio
kie,google/imagen4,https://docs.kie.ai/market/google/imagen4.md,google/imagen4,paths.post.input.aspect_ratio,4:3,ASPECT_RATIO,3:2,MEDIUM,std_to_api:nearest_ratio
