provider,api_title,doc_url,category,source_field,enum_value,value_order,service_tier,detail_parse_status
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,duration,1,1,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,duration,2,2,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,duration,3,3,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,duration,4,4,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,duration,5,5,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,duration,6,6,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,duration,7,7,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,duration,8,8,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,resolution,540p,1,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,resolution,720p,2,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,resolution,1080p,3,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,movementAmplitude,auto,1,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,movementAmplitude,small,2,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,movementAmplitude,medium,3,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,movementAmplitude,large,4,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,__task_status,QUEUED,1,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,__task_status,RUNNING,2,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,__task_status,SUCCESS,3,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-turbo,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766641.md,Video,__task_status,FAILED,4,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-pro,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766642.md,Video,duration,1,1,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-pro,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766642.md,Video,duration,2,2,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-pro,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766642.md,Video,duration,3,3,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-pro,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766642.md,Video,duration,4,4,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-pro,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766642.md,Video,duration,5,5,unknown,parsed_html
runninghub,Vidu-首尾帧生视频-q2-pro,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766642.md,Video,duration,6,6,unknown,parsed_html
