provider,api_title,doc_url,category,source_field,enum_value,value_order,service_tier,detail_parse_status
runninghub,全能视频S-图生视频-支持真人-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766677.md,Video,duration,4,1,official_stable,parsed_html
runninghub,全能视频S-图生视频-支持真人-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766677.md,Video,duration,8,2,official_stable,parsed_html
runninghub,全能视频S-图生视频-支持真人-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766677.md,Video,duration,12,3,official_stable,parsed_html
runninghub,全能视频S-图生视频-支持真人-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766677.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频S-图生视频-支持真人-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766677.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频S-图生视频-支持真人-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766677.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频S-图生视频-支持真人-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766677.md,Video,__task_status,FAILED,4,official_stable,parsed_html
runninghub,全能视频S-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766678.md,Video,duration,4,1,official_stable,parsed_html
runninghub,全能视频S-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766678.md,Video,duration,8,2,official_stable,parsed_html
runninghub,全能视频S-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766678.md,Video,duration,12,3,official_stable,parsed_html
runninghub,全能视频S-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766678.md,Video,__task_status,QUEUED,1,official_stable,parsed_html
runninghub,全能视频S-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766678.md,Video,__task_status,RUNNING,2,official_stable,parsed_html
runninghub,全能视频S-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766678.md,Video,__task_status,SUCCESS,3,official_stable,parsed_html
runninghub,全能视频S-图生视频-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766678.md,Video,__task_status,FAILED,4,official_stable,parsed_html
