provider,api_title,doc_url,category,source_field,enum_value,value_order,service_tier,detail_parse_status
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,resolution,1k,1,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,resolution,2k,2,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,resolution,4k,3,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,aspectRatio,1:1,1,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,aspectRatio,3:2,2,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,aspectRatio,2:3,3,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,aspectRatio,3:4,4,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,aspectRatio,4:3,5,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,aspectRatio,4:5,6,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,aspectRatio,5:4,7,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,aspectRatio,9:16,8,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,aspectRatio,16:9,9,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,aspectRatio,21:9,10,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,__task_status,QUEUED,1,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,__task_status,RUNNING,2,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,__task_status,SUCCESS,3,official_stable,parsed
runninghub,全能图片PRO-文生图-官方稳定版,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766743.md,Image,__task_status,FAILED,4,official_stable,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,voice_id,Wise_Woman,1,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,voice_id,Friendly_Person,2,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,voice_id,Elegant_Man,3,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,emotion,happy,1,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,emotion,sad,2,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,emotion,angry,3,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,emotion,fearful,4,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,emotion,disgusted,5,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,emotion,surprised,6,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,emotion,neutral,7,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,__task_status,QUEUED,1,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,__task_status,RUNNING,2,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,__task_status,SUCCESS,3,unknown,parsed
runninghub,minimax/speech-2.8-hd,https://www.runninghub.cn/runninghub-api-doc-cn/api-425766728.md,Voice,__task_status,FAILED,4,unknown,parsed
